Code,Omschrijving,Groep,Titel
I16221.01,NEN-ISO 16221:2001 en,Norm water-biologisch,Water - Leidraad voor bepaling van de bioafbreekbaarheid in zeewater
I16240.05,ISO 16240:2005 en,Norm water-biologisch,Water - Bepaling van de genotoxiciteit van water en afvalwater met de <(cursief) Salmonella/>microsomeproef (Ames proef)
I16264.02,ISO 16264:2002 en,Norm water-chemisch,Water - Bepaling van oplosbare silicaten met behulp van een doorstroomanalysesysteem (FIA en CFA) en fotometrische detectie
I16264.04,NEN-EN-ISO 16264:2004 en,Norm water-chemisch,Water - Bepaling van oplosbare silicaten met behulp van een doorstroomanalysesysteem (FIA en CFA) en fotometrische detectie
I16266.06,ISO 16266:2006 en,Norm water-biologisch,Water - Detectie en telling van <(cursief)Pseunomonas aeruginosa> - Membraanfiltratiemethode
I16588.03,NEN-EN-ISO 16588:2003 en,Norm water-chemisch,Water - Bepaling van zes complexvormende verbindingen - Gaschromatografische methode
I16590.00,ISO 16590:2000 en,Norm water-chemisch,Water - Bepaling van het gehalte aan kwik - Methoden na verrijking door amalgamatie
I16665.05,NEN-EN-ISO 16665:2005 en,Norm water-biologisch,Water - Richtlijnen voor kwantitatieve bemonstering en monsterbehandeling van macro-invertebraten in marien zacht substraat
I16703.04,ISO 16703:2004 en,Norm bodem-chemisch,Bodem - Bepaling van het gehalte aan minerale olie van C10 tot C40 door gaschromatografie
I16720.07,NEN-EN-ISO 16720:2007 en,Norm bodem-fysisch,Bodem - Voorbehandeling van monsters door vriesdrogen voor daaropvolgende analyse
I16772.04,NEN-ISO 16772:2004 en,Norm bodem-chemisch,Bodem - Bepaling van het gehalte aan kwik in koningswater bodemextracten met behulp van atomaire-absorptiespectrometrie met koude damp of atomaire fluorescentiespectrometrie met koude damp
I17294-1.06,NEN-EN-ISO 17294-1:2006 en,Norm water-chemisch,Water - Toepassing van massaspectrometrie met inductief gekoppelde plasma (ICP-MS) - Deel 1: Algemene richtlijnen
I17294-2.04,NEN-EN-ISO 17294-2:2004 en,Norm water-chemisch,Water - Toepassing van massaspectrometrie met inductief gekoppelde plasma (ICP-MS) - Deel 2: Bepaling van 62 elementen
